benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_short_a_out1_128_-15.o'      |  O3  runtime:  1810.6666666666667  |  RL  runtime:  1810.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_in1_out1_256_-15.o'            |  O3  runtime:  1512.0              |  RL  runtime:  1512.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_in1_result1_256_-15.o'         |  O3  runtime:  1526.3333333333333  |  RL  runtime:  1526.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_2_in1_out1_256_-20.o'         |  O3  runtime:  363.3333333333333   |  RL  runtime:  363.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_2_sa_result1_256_-15.o'       |  O3  runtime:  360.0               |  RL  runtime:  360.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_2_short_a_out1_256_-15.o'     |  O3  runtime:  396.6666666666667   |  RL  runtime:  396.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_input1_ia_128_-20.o'          |  O3  runtime:  924.0               |  RL  runtime:  924.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_sa_out1_128_-5.o'             |  O3  runtime:  930.3333333333334   |  RL  runtime:  930.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_sa_ia_256_-15.o'                |  O3  runtime:  379.3333333333333   |  RL  runtime:  379.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_short_a_result1_256_-15.o'      |  O3  runtime:  395.6666666666667   |  RL  runtime:  395.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_64_2_2_sa_ia_256_-20.o'             |  O3  runtime:  380.0               |  RL  runtime:  380.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_64_2_sa_ia_128_-5.o'                |  O3  runtime:  981.0               |  RL  runtime:  981.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_64_in1_assign1_256_-15.o'           |  O3  runtime:  393.3333333333333   |  RL  runtime:  393.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_64_short_a_out1_256_-15.o'          |  O3  runtime:  395.3333333333333   |  RL  runtime:  395.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_8192_2_2_input1_out1_256_-20.o'     |  O3  runtime:  1717.0              |  RL  runtime:  1717.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
