benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_2_short_a_ia_8_20.o'              |  O3  runtime:  563.6666666666666   |  RL  runtime:  563.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_in1_ia_256_0.o'                   |  O3  runtime:  240.33333333333334  |  RL  runtime:  240.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_in1_result1_256_-15.o'            |  O3  runtime:  235.33333333333334  |  RL  runtime:  235.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_sa_assign1_256_-20.o'             |  O3  runtime:  237.0               |  RL  runtime:  237.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_2_in1_out1_256_-15.o'            |  O3  runtime:  216.0               |  RL  runtime:  216.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_2_input1_assign1_256_-15.o'      |  O3  runtime:  221.33333333333334  |  RL  runtime:  221.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_2_sa_assign1_256_-15.o'          |  O3  runtime:  217.66666666666666  |  RL  runtime:  217.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_in1_assign1_128_-15.o'           |  O3  runtime:  574.0               |  RL  runtime:  574.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_input1_assign1_128_-15.o'        |  O3  runtime:  569.6666666666666   |  RL  runtime:  569.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_input1_ia_128_-15.o'             |  O3  runtime:  571.0               |  RL  runtime:  571.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_sa_assign1_128_-5.o'             |  O3  runtime:  569.0               |  RL  runtime:  569.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_in1_ia_256_-15.o'                  |  O3  runtime:  218.0               |  RL  runtime:  218.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_input1_ia_256_-15.o'               |  O3  runtime:  216.33333333333334  |  RL  runtime:  216.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_sa_assign1_256_-15.o'              |  O3  runtime:  217.66666666666666  |  RL  runtime:  217.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_sa_result1_256_-15.o'              |  O3  runtime:  219.33333333333334  |  RL  runtime:  219.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_16384_2_2_sa_result1_256_-20.o'        |  O3  runtime:  962.0               |  RL  runtime:  962.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_16384_2_2_short_a_assign1_256_-20.o'   |  O3  runtime:  940.6666666666666   |  RL  runtime:  940.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_16384_short_a_ia_256_-5.o'             |  O3  runtime:  952.3333333333334   |  RL  runtime:  952.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_16384_short_a_result1_256_-15.o'       |  O3  runtime:  989.3333333333334   |  RL  runtime:  989.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_2048_2_2_input1_out1_128_-20.o'        |  O3  runtime:  241.0               |  RL  runtime:  297.3333333333333   |  improvement:  0.81X  |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_2048_2_input1_ia_128_-20.o'            |  O3  runtime:  584.3333333333334   |  RL  runtime:  584.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_2048_sa_out1_256_-15.o'                |  O3  runtime:  242.33333333333334  |  RL  runtime:  242.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_256_2_2_input1_ia_256_-15.o'           |  O3  runtime:  215.0               |  RL  runtime:  215.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_256_2_in1_result1_128_20.o'            |  O3  runtime:  567.3333333333334   |  RL  runtime:  567.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_256_2_input1_assign1_128_-5.o'         |  O3  runtime:  568.0               |  RL  runtime:  568.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_256_2_input1_result1_128_-20.o'        |  O3  runtime:  568.3333333333334   |  RL  runtime:  568.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
